match_id,date,group,team_a,team_b,score,team_a_total_attempts,team_a_shots_on_target,team_b_total_attempts,team_b_shots_on_target,evidence_type,evidence_url,fifa_match_url,fifa_fulltime_report_url,fifa_summary_report_url
400021481,2026-06-26,G,New Zealand,Belgium,1–5,6,2,35,10,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12490/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021481,https://fdp.fifa.org/assetspublic/ce281/r12490/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M64-NZL-V-BEL.pdf
400021482,2026-06-15,H,Spain,Cape Verde,0–0,27,7,6,1,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12492/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021482,https://fdp.fifa.org/assetspublic/ce281/r12492/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M14-ESP-V-CPV.pdf
400021486,2026-06-15,H,Saudi Arabia,Uruguay,1–1,7,3,29,11,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12495/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021486,https://fdp.fifa.org/assetspublic/ce281/r12495/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M13-KSA-V-URU.pdf
400021483,2026-06-21,H,Spain,Saudi Arabia,4–0,22,8,3,1,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12491/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021483,https://fdp.fifa.org/assetspublic/ce281/r12491/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M38-ESP-V-KSA.pdf
400021487,2026-06-21,H,Uruguay,Cape Verde,2–2,17,2,12,4,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12496/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021487,https://fdp.fifa.org/assetspublic/ce281/r12496/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M37-URU-V-CPV.pdf
400021485,2026-06-26,H,Cape Verde,Saudi Arabia,0–0,,2,,3,FIFA official match page,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021485,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021485,https://fdp.fifa.org/assetspublic/ce281/r12494/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M65-CPV-V-KSA.pdf
400021484,2026-06-26,H,Uruguay,Spain,0–1,5,1,6,1,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12493/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021484,https://fdp.fifa.org/assetspublic/ce281/r12493/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M66-URU-V-ESP.pdf
400021490,2026-06-16,I,France,Senegal,3–1,11,8,6,2,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12499/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021490,https://fdp.fifa.org/assetspublic/ce281/r12499/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M17-FRA-V-SEN.pdf
400021488,2026-06-16,I,Iraq,Norway,1–4,11,1,12,5,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12497/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021488,https://fdp.fifa.org/assetspublic/ce281/r12497/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M18-IRQ-V-NOR.pdf
400021492,2026-06-22,I,France,Iraq,3–0,19,5,4,0,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12501/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021492,https://fdp.fifa.org/assetspublic/ce281/r12501/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M42-FRA-V-IRQ.pdf
400021491,2026-06-22,I,Norway,Senegal,3–2,13,7,16,4,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12500/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021491,https://fdp.fifa.org/assetspublic/ce281/r12500/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M41-NOR-V-SEN.pdf
400021489,2026-06-26,I,Norway,France,1–4,10,4,18,9,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12498/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021489,https://fdp.fifa.org/assetspublic/ce281/r12498/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M61-NOR-V-FRA.pdf
